CN3	AS2	NEC2	BRC	UPRC1	NEC3	NEC1	IN	GPC	NEC4	AS3	OPC/OL	Inter	Neuron	AS1	CBC	CN1	CN2	PGC2	CN5	ME	CN4	PGC1	UPRC2
FABP7	1.01821665972958	1.48216867785417	1.59122509226069	0.669443562759839	0.64248960219318	1.67471749908169	1.69788529045944	0.955849540917943	1.47320709313731	1.78658084790788	2.10853554278128	1.29854425429351	1.18415042793873	1.31252111559126	2.3326499191308	0.362713398668814	1.13101917996311	0.818129019776559	1.03206443118963	1.10237582690255	0.74698979097714	0.949226996560575	0.875021136407912	0.590207123177127
PCSK1N	2.59604573528873	1.9971587487883	1.57290850128139	1.94095733719549	1.97660675202059	1.82961660433732	1.43859655265538	2.52515064182391	1.77058991838244	1.65949904431116	1.82468883556663	1.82131862410818	2.15599924026419	2.2627300688438	2.02879391951773	1.86661932866455	2.50043018713395	2.79709610717496	1.71820681244418	2.65832888600386	1.9163121478734	2.52927111293523	1.43023911200125	1.26330664259605
KLHL41	0.0171258448058382	0.0223162792129736	0.0212561554607688	0.012775792130972	0.022113650054368	0.0283268332626553	0.0211951449333905	0.0158522012147525	0.0369997064338938	0.0394418884117102	0.0317594275147065	0.0506276960850122	0.0744546566984537	0.0150009224916605	0.0113855906730139	0.00937941217161949	0.00455820189722352	0.0111656456728432	0.288813721765917	0.0294354983516435	0.110844169330657	0.0210917309687022	0.195931230617356	0.0147109118250144
COL3A1	0.0804237518414014	0.112615110408322	0.0585843930353101	0.114401490530085	0.0734737770001035	0.0791057312213638	0.0639198505334835	0.0323457848027181	0.0742120981847741	0.115840085542864	0.0802179434782028	0.0687817760674897	0.107199273058701	0.0394231132994894	0.0610607508980989	0.0599929027455057	0.0700484010030006	0.049011507322087	0.394973101706354	0.0563772426901741	0.308616488945433	0.0593074253952028	1.46371118647729	0.0580789704262645
PLK1	0.0519470151350054	0.0825385776352321	0.585286722107724	0.0291736226630683	0.070889627103806	0.538591075735121	1.84694600073358	0.0394109234335887	0.0516312046103404	0.132176898558481	0.0331571827110356	0.0625398344390038	0.0748120030195348	0.044461052454893	0.0325785787148261	0.0574222451510708	0.0539890592868466	0.0538125298156276	0.0371676269393536	0.0664960817690337	0.0529223930908315	0.0598865360737265	0.0319578267712877	0.0217938393479937
IGFBP5	0.349320594837351	1.03206107226601	0.479597129663655	0.909706166711052	0.478890583660708	0.56777338929118	0.281057016193797	0.447892358686943	0.829673235449511	0.631532080114905	0.729493044643432	0.818817576030723	0.605367580061386	0.40143347620595	0.741771428831216	0.814343391818494	0.46136079754977	0.297010586552423	0.980570640433949	0.441552604541167	0.63496231111288	0.632695365615839	1.06378249345023	0.38883706848855
CDK1	0.0868105804482342	0.170334975356671	1.62647347064802	0.0820776289609835	0.0953207272708385	0.669280291964408	2.36846405629696	0.110778161985605	0.135751663842184	0.747530958725296	0.166743880547868	0.169505784984834	0.119175812001912	0.101988783209418	0.171010173853244	0.292881088503138	0.0739188257703556	0.0653529377921986	0.091605020645427	0.104414949536515	0.0511936444597672	0.107466682740812	0.0734130935512856	0.0719923716858766
NEFM	1.17389433117671	0.293890013481891	0.191005557855984	0.443207740884113	0.861485777352826	0.291998880184661	0.184951037482656	0.756663267752506	0.401351702922445	0.240866983188559	0.236102755972677	0.341017978992774	0.748443330129754	0.638045186129255	0.168111345127347	0.276391262115876	1.11913935337186	1.49287164535287	0.468485337806383	1.27714800352023	0.914609029100347	1.03447371991601	0.357660986449175	0.540491502034913
LUM	0.057497795658028	0.232469921655382	0.11028853567738	0.0922362937591912	0.0941186236974689	0.164971620479673	0.0839229758782373	0.0320829225266737	0.135485725095174	0.156721735363754	0.0907714712848039	0.0660025671310296	0.16674557044834	0.044588120102202	0.0873717607361542	0.0342435927434883	0.107216134636929	0.0426192568792495	0.548004876086637	0.0588958589273835	0.19997291890654	0.0570939450674045	1.31784566399837	0.176061149336282
FABP1	0.00512460788685412	0.0121418273935148	0.0101037341207723	0.0183109268514745	0.0123347512392877	0.00852901758666101	0.00914383691559575	0.0127602861258821	0.0272308674998362	0.0148674958631037	0.0153767732954055	0.00706568255193564	0.0156565342106246	0.00273794275368137	0.0133368919396342	0.00409525305796152	0.00595365568767629	0.0104388642611762	0.0347282162757766	0.0124271870642494	0.0124153738492739	0.00608459006059864	0.0351368089960087	0.371288168911871
