Astrocyte	Endothelial	Glycolytic RG	Hindbrain RG	Layer VI Occipital	Low quality	Microglia	Mixed	Newborn Low-Quality	oRG	Outlier	Pan-neuronal	Pan-radial glia	SST-MGE1	Unknown	Upper Layer	V1 Neurons
AGRN	534.513788736775	546.776661153811	131.894196122459	307.180116911184	201.367604665898	113.194446693459	126.002408748031	164.475685678399	175.106397033951	251.783261064571	0	403.739144037142	380.497024369134	157.727422140931	308.315873194488	386.779269747918	133.157926473891
C1orf159	81.8023957690104	104.095623895606	157.899945449743	148.784394986095	122.971940243664	137.733485456152	46.9167482191879	87.7034426947757	310.737212389559	128.621859806209	0	221.239144751291	253.6402275419	151.090755474264	387.761706527822	240.354981891846	112.274303367508
TTLL10	49.573830144642	165.98009252636	148.510424148915	99.2389404406522	1.48773647763034	43.4089604489563	0	97.5932840336478	219.365417517764	49.6218596677489	0	46.1878619870622	117.335372837998	0	46.0575398611547	72.3223732699425	0.402060090098284
SDF4	207.454264927251	583.768327825586	285.260943899435	431.85658749942	228.571812652242	285.490566066174	63.7041631431172	319.423938974713	183.999117151537	415.990280720381	242.80487804878	390.079144037142	Inf	298.118447781956	568.320418649034	189.186956761175	160.731445959469
B3GALT6	98.3042649272673	213.001661153811	184.423337061828	190.658940440984	114.894688759785	148.555380880989	37.4943389317955	160.108840460363	225.831415288109	130.195914031837	0	233.653778183483	407.195521352849	191.603902654824	298.064797925671	137.505706537497	160.731445959469
FAM132A	66.4450056679914	266.47898074144	141.82976981048	107.483842985752	48.5007633642679	111.194605106526	0	79.9182246889995	236.479636631983	127.407574427796	42.3617021276596	183.445213883829	557.677664209992	161.257563984902	218.282539861155	170.164872654869	68.2223550505611
UBE2J2	285.516764927251	672.886596992205	447.24555928405	483.351009406113	505.161556241986	265.84413815072	97.204163133998	290.559282498767	236.023879956296	628.955193001082	68.0683760683761	511.511871309869	Inf	353.810755620341	Inf	376.457439568673	245.531445959469
SCNN1D	0	43.0822167093682	113.312225950717	77.4389404405962	101.905145985576	90.737603103211	45.1910052393159	42.7903209216663	91.3775632667514	90.2164542623435	0	117.524858322857	106.256660421011	15.7692969622002	46.9734220800619	64.6057065295273	7.0386727174806
ACAP3	353.259820482807	265.126150949729	236.859844998336	286.43363071378	440.796171626601	229.122841198449	100.506980035404	243.982669133443	Inf	255.441304112193	0	485.090995888994	Inf	240.685755912852	446.032539861155	327.048843814799	132.464800191919
PUSL1	140.104264927251	430.223500234271	230.02055928405	157.072629324092	181.495654547337	129.075990200212	64.9449038747364	146.408494959269	131.773159587493	240.404468363401	0	284.08965950106	525.919112902145	168.788533252042	448.873886015001	172.16284938667	112.274303102329
CPSF3L	207.439979216271	561.065840258289	328.586735754638	287.394112859461	424.108849689279	235.860936436855	138.434932364765	202.673423826789	344.663138315485	510.63095057684	6.65886287625418	518.878032926031	Inf	276.239326902835	Inf	308.355706529527	137.800676822816
CPTP	135.622412107817	253.019308212635	182.14555928405	307.180116911184	277.124193604623	171.527603103211	33.1896752551539	131.336754189684	133.361685818518	149.513526335077	20.848167539267	254.705810703905	Inf	181.429803093363	293.183333511949	144.340068245438	212.353668181691
DVL1	108.966460049202	238.512772264922	126.838416939509	137.176242247472	109.109658726266	124.515782313532	100.506980035404	224.043630094404	133.861591925971	170.157438289914	0	205.17462790811	236.168347439806	91.4532850288536	251.725264492682	160.110834734656	97.8245969775495
MXRA8	104.253284535094	237.568327822634	293.013980336682	608.608505657987	61.1038771334032	140.252856573393	28.7476416066965	134.76322497181	264.268958421305	200.919653785443	0	165.252621909161	368.087188019516	42.5799862440627	Inf	208.572373196194	70.3667400771163
AURKAIP1	Inf	Inf	Inf	Inf	Inf	501.040423616031	259.918448848282	Inf	Inf	Inf	142.94358974359	Inf	Inf	Inf	Inf	Inf	575.689779292802
CCNL2	165.09820432119	445.890297517447	394.60742369083	234.68765838935	324.271812652242	292.896024155843	101.990804915738	202.66203421828	424.911454813801	496.310748556638	6.93728222996516	442.791775616089	572.504194822237	323.644088807597	551.326657508214	300.509873196194	233.417160245183
MRPL20	Inf	Inf	Inf	Inf	Inf	565.027603103211	227.016663133996	Inf	Inf	Inf	21.5243243243243	Inf	Inf	604.426140089649	Inf	Inf	291.431445959469
ANKRD65	0	11.599322905638	32.4839496865027	111.913359045247	4.93906688685965	74.914700054781	0	13.7859403844557	24.9644851320502	73.0711363118703	0	31.382784714213	109.863074544338	0	110.537946671594	48.5723735388373	0
VWA1	192.471706787716	350.964161153811	152.89555928405	173.905607107267	113.071820619342	180.160936436544	78.6232562410258	82.9715580409419	163.964485116831	150.20853011343	0	233.707229143525	386.049688019516	172.810755474264	671.496825575441	149.646447270268	97.8245969772389
ATAD3C	44.4224474857836	91.6794389315887	42.9887167175578	27.0845997231303	64.531636276512	76.8799009534911	0	46.6632288955391	91.3483699197026	169.476026334416	0	131.028617721353	92.4388221275552	0	96.1325398611547	109.481464105285	29.2870015150246
ATAD3B	89.06003415802	260.450956928459	124.281366262154	257.448242766177	266.238479318909	145.797873373481	36.5420009723384	102.206409573878	165.661455314342	303.985496038592	0	260.077043066325	480.238047126045	149.5137661742	327.009010449943	308.355706529527	97.1314536332528
ATAD3A	82.8010920178788	199.155833155223	177.577542824234	482.667511869167	395.935449015879	159.498839170015	72.6835658485664	278.388224688999	226.060341641259	269.538526334416	34.6260869565217	375.732387280385	Inf	371.048850712359	439.167833978802	231.926812457413	104.909643346373
SSU72	578.094615804444	Inf	Inf	Inf	Inf	595.264445208474	Inf	Inf	Inf	Inf	144.275362318841	Inf	Inf	Inf	Inf	657.250694874516	672.095731673755
RP5-832C2.5	83.0058522289087	193.674388426538	468.788416426907	115.366521357948	120.381336470327	90.891436899181	15.798728551197	134.763224688999	133.861590499011	137.827742020899	0	516.660196668721	Inf	108.929899484299	150.75943061802	128.766817641435	73.7277082646365
C1orf233	47.9372872429484	199.979786153811	77.8455592840504	119.886000447596	112.905150691592	67.1958992678222	28.7721343659785	89.8493358039049	52.8409435702627	67.5049242044805	0	145.526029283068	265.153854686182	0	123.001087970619	95.212373196194	97.1314613069779
RP11-345P4.9	201.613355836342	589.580232582382	259.194855058698	261.617318818974	147.952765035945	137.733485456302	81.0934761110949	94.0438915253663	164.906909359256	187.507811929128	0	196.921453347718	366.384877806917	207.053998717507	381.249752975909	211.533911657732	126.881445959469
MIB2	505.258028368111	347.021661153811	213.743598499736	234.68765838935	Inf	190.947603103211	123.773128651237	219.942224688999	159.94554572291	235.955193001082	31.109375	527.832894037142	518.459410241738	164.94119025699	485.779293107908	382.360044429071	235.580163908187
CDK11B	162.151073448973	425.24257024472	215.146850683387	326.715411028831	284.973773436556	241.052603103211	207.275591705425	435.338224688999	226.783311683141	308.568738394966	0	392.063791858175	449.058452387332	434.255199918708	655.660925082859	331.054516053337	133.157926474214
SLC35E2B	145.338408658316	249.983056508196	131.465237640552	168.988940627862	518.712163529436	285.490566066174	225.231294916942	207.073708559967	159.945545722892	154.357024641027	0	574.554933510826	Inf	201.394328518057	605.597055990187	175.564607810909	179.575890403913
CDK11A	163.435034200909	309.684994487144	157.899945258893	187.321138029509	253.949005634699	162.16863454399	61.3532859410132	191.926459983117	117.894075134953	301.16240020829	12.8451612903226	267.294699592698	389.660521352849	226.046049591911	483.644608826672	170.172373367401	133.345731673755
NADK	140.470498693485	456.762772264922	303.219329775853	169.770190440596	193.17146280916	137.733485456152	104.034260221375	99.5344511042197	198.801314953661	292.990280720381	15.6156862745098	252.949670352931	381.954541971406	181.429803093312	Inf	141.756583722626	112.274303367508
GNB1	530.812373035359	651.133044132547	401.002702141193	312.06586351752	520.456301101088	282.646247171008	457.329163133996	456.94903549981	216.094968568826	518.042912299328	21.6413043478261	Inf	Inf	Inf	Inf	586.416123196194	203.131446054989
TMEM52	17.1305075076703	108.718188897218	87.938568965848	74.4264404405966	100.63854338507	95.2913393670482	37.6486075784401	57.818090725101	81.3705458156763	90.3996382130448	0	165.78544033344	352.001473733801	0	248.194702023317	144.338502228452	85.3536682182911
CFAP74	70.2123950085515	132.100647351769	74.2727523096226	75.3629019702478	0.000237443240885492	72.7868623624703	0	87.7039137220569	95.1955457228918	70.0678396727861	0	165.78544035654	183.381745845616	0	Inf	170.44973168676	0
PRKCZ	74.7526579918125	Inf	159.756670395162	274.821029992835	331.769091563807	296.835295410903	55.6641631340122	193.986709537484	184.166505318852	335.206197017147	0	486.989144037142	393.39505551434	338.071625039481	520.171428750044	373.572373196194	132.464779294505
RP11-181G12.2	0	120.7327422349	57.7828896602965	74.520421922078	31.6789635083603	35.8574996334102	15.6015991928381	54.5953938133931	60.1568780479701	40.9669935859841	0	127.405813676988	124.240242201506	0	117.645878058084	71.3846097468701	0
FAAP20	Inf	Inf	530.277634755748	Inf	Inf	559.384745960354	331.704163133996	629.471558022332	460.092284853327	Inf	35.3170731707317	Inf	Inf	655.477422140931	Inf	609.630814754635	203.824593140029
SKI	87.6281937680725	165.742425710268	109.820303239225	164.638940440599	166.396374055751	83.4996410682461	130.704163209913	96.089578776293	126.270550561596	124.501938957722	0	288.572477370475	512.807363458112	276.239326902835	313.702031386579	141.75672110665	86.0468558690201
MORN1	106.47569349868	157.916457270901	273.186542890607	149.130607114348	160.084633165064	182.027603103211	44.5613059911386	79.0463019424092	146.84081599318	229.693288239178	0	149.917106756309	288.153854686182	94.6065042607917	212.241842186737	102.139042039719	61.8111020814502
RER1	529.402378134798	Inf	392.413961753964	Inf	Inf	304.81881189442	291.504163133996	358.501861052635	280.464488624328	Inf	241.333333333333	675.803246601245	Inf	333.125041198267	Inf	393.396316858166	212.353668188902
PEX10	546.977520741204	420.373571266173	382.433230516927	268.294507810431	342.554268792593	215.82172075027	31.2104063189869	278.388224688999	249.232707885054	342.3565535453	0	325.871963794447	499.543735638563	154.379386524759	Inf	361.217534486838	120.419717228168
PLCH2	8.59941056184656	62.5683278204782	75.6793422267609	67.0097737739295	128.238497212939	140.194269769878	38.5791631339957	47.6715580223325	156.570545722892	60.3150073652485	0	117.524858322856	48.2562487361171	0	26.3104484043565	125.272373196194	85.3536682544774
PANK4	144.411634668693	75.7586064327174	219.578892617383	169.297763970008	217.988479318909	203.482148557756	0	113.372267264013	108.701141476096	338.865102910992	0	223.511499697311	186.923974929212	112.477422141606	143.607753893167	174.831632455453	74.7586389419249
HES5	578.329264927251	218.889756391906	342.036863631876	602.511667713323	283.747251248734	357.891239466847	133.185644615477	179.20083171346	244.133045722892	277.871860018115	0	541.239144044961	515.579780612108	434.255199918708	393.356483523127	132.361848246497	97.1314459594688
RP3-395M20.12	165.098204321205	592.851661153811	639.274591542115	512.51177608711	166.071812652242	242.924863377184	0	Inf	206.320545722892	Inf	0	335.013755436106	Inf	138.2078142978	551.326657508265	Inf	66.5601209967604
FAM213B	136.425370454889	252.379803230314	181.31555928405	309.405607107263	132.699286099577	123.260938597502	72.6835445773298	179.498880426704	160.541133958187	220.344751234014	189.619047619048	198.426644037142	346.326774348429	139.292275607422	430.540232168847	220.372373196194	115.56894613173
MMEL1	0	29.5037166216015	128.64555928405	19.7395375361752	128.238479318911	17.8713436896687	30.8245339546488	83.8525104032849	32.4594365504352	64.2218596677565	0	74.1648608445124	100.487188019518	0	33.8886559096775	36.6348732484622	0
RP13-436F16.1	13.6397499895629	Inf	157.94555928405	224.028414124809	87.2121635294358	74.9147639393179	64.9449038747364	257.658224689	50.7774425908969	185.054292100181	0	111.683593293374	206.820521352849	30.2813437095583	212.241847309418	134.311503630977	77.0300589790595
TTC34	0	10.8782881987657	47.5153440237409	37.5209626630666	8.60772924613641	30.1883181289273	0	76.5613016120762	12.1085262943425	10.2234887439196	0	95.0010487990468	85.3861801977043	0	2.22242845518309	31.7020185647498	0.0792689032838818
LINC00982	151.031537654527	345.003933881085	117.478892617383	307.180116911184	124.118479318909	127.313317388925	85.4993438568873	380.629750112728	116.461850070718	211.421859667749	0	178.138116568616	340.179589000183	164.941190256873	170.946332964603	112.796774689673	75.9314466904018
PRDM16	90.9709451297361	369.689276941157	115.53686363191	312.257808365124	138.554082317056	266.527603103211	193.237496467329	274.71717205742	95.1859303382786	199.809359667749	0	160.085299864374	407.978416089691	126.038579837844	124.807187811669	145.842643466464	68.2255933255564
ARHGEF16	15.3292794183194	71.0286591356178	126.838416426909	102.488940440596	45.2384880636056	54.1201957301397	0	56.4891693654629	108.700980534598	163.958223304113	0	61.177578299048	123.104896742825	0	160.773611359714	121.168263607153	0
MEGF6	92.5112824711114	106.368327820478	128.005559285688	72.0097375300634	100.304268792594	85.9164923830278	35.0582646257421	79.9782250477517	125.175196885683	126.074240742446	0	146.953429751428	293.093248625576	0	113.365873194488	137.880065503886	75.9314474245353
TPRG1L	149.282389927251	105.640791624532	85.2055101657826	100.438940440596	84.8523537094232	75.5134215415505	29.3148395128714	102.188224688999	126.270545722992	164.712768758658	0	145.603359539471	172.157059814387	61.9100201801464	185.093764350951	133.054994102402	75.9314459627599
WRAP73	116.802646101247	224.426051397713	265.650366976358	425.456331744944	213.371812652246	218.663966739575	136.453914088141	125.955297859731	216.070545722892	187.504212608925	0	275.553429751428	380.608192585726	147.967618225894	331.014682718308	139.538135015567	172.131445959469
TP73-AS1	66.4042811662313	139.951503234626	134.270561419533	137.44482298095	147.952765035938	83.5870722758292	42.7666720904924	102.70489166126	242.45212467026	103.648184615886	0	312.497208553271	365.142889773902	196.015883679392	512.916101504991	134.197373270183	92.1348566370342
SMIM1	72.7042796663413	Inf	114.643764881118	268.294496437029	181.495622176053	137.733485456152	100.510913959547	191.50186105433	118.683879056225	92.8358581900539	0	168.77628581587	179.514031563329	15.3223836027811	167.078841312243	123.908037534363	61.7981239423684
LRRC47	185.591073733142	470.769938669408	248.307721446299	Inf	299.192325472755	231.860936437753	154.632734562567	Inf	299.108507202897	382.326405122294	26.5466666666667	670.203429751428	Inf	283.176609132801	Inf	350.327090177326	157.061169293834
CEP104	130.49838257431	188.311917564067	263.031273569764	137.444822853013	124.11847931891	152.157977563895	106.704163133996	182.638224690071	123.98026796906	163.958223304113	0	289.869153554875	269.217580352638	164.9411902611	396.213390924985	220.295264762459	165.222355050378
DFFB	67.082050901169	103.468327940277	117.758892618013	114.201903403754	149.619455990804	114.96510310324	25.6431616964903	58.4774612712128	128.356260605713	120.268918491278	0	162.015006106264	237.695521352872	181.429803093312	126.725401286976	170.44973168676	42.2589969852046
C1orf174	123.261641976435	493.664819048548	241.527138231418	338.420758622414	135.76021892354	118.246353587035	77.9909284641176	225.628020607366	156.871627487358	175.084191218863	13.8745644599303	412.001048799047	653.948428329593	371.048850712359	379.654988840747	154.715230339052	104.198119812281
AJAP1	62.938832828758	50.4131971375743	69.5027021412121	64.8911147547308	82.2384793270795	42.5579070767403	62.5077345630737	93.1505782755597	63.1291073770591	170.377957228725	0	121.567215301044	121.327994538593	0	58.2611094897212	96.172373196194	22.8072912796136
NPHP4	104.253284535094	142.376237424997	107.776050034094	90.428581409203	90.6072931275039	129.283700664187	40.0571043381575	105.652784347548	95.1859303382768	75.5449365951043	0	175.032247485418	146.540428897792	86.0964697599784	390.539532868148	114.384062511711	76.6245931400438
KCNAB2	143.112428192557	113.044518296668	81.7455595899523	77.2782803013079	113.415641749782	72.2199992704024	29.9023621591699	121.785283512528	101.570545722899	95.7647168120245	0	136.720701766651	98.3492110898936	112.477422140931	122.532551991326	108.269904060392	97.1314536332531
RPL22	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	432.009433962264	Inf	Inf	Inf	Inf	Inf	Inf
ICMT	213.665803388789	370.215153217303	312.77055928405	528.832690440596	205.481722562152	208.527603103211	21.1464078999924	269.193780244555	158.824931710805	255.441304112193	22.1222222222222	360.387292185297	508.82961226194	139.292237393923	530.164615332853	217.560468434289	100.38059850523
GPR153	98.7042649272513	146.083479335639	231.999989663797	115.134959133094	187.120832260086	137.733485456152	71.9082447666488	189.752808022332	142.754760254728	143.82461646312	0	302.602780400778	239.703706853873	194.28533174545	194.821825575441	156.372373343544	86.0470037005595
ACOT7	252.982042705029	639.809428145561	388.845559284051	444.215130916786	408.613484777904	294.788241401083	144.104163133999	257.478224912282	358.243622645969	628.955193001082	0	Inf	Inf	620.547597579527	Inf	497.484137902076	273.798112626136
RP1-202O8.3	0	0.614178638799931	63.3122259507168	37.12567277011	40.3444755519041	60.8690195614186	0	26.0182246904672	16.2879714671603	16.0199284415447	0	70.0560605333815	81.6075601459953	0	28.4908751330035	52.9497316922614	26.4166572270778
ESPN	164.878177970729	299.787375439525	157.969088695815	75.0389432365972	42.5747983464121	107.604526180134	26.4219050814871	29.3175636037969	103.820545722902	84.0504317838529	0	89.0169218640996	247.411430443758	0	119.313027666033	108.64380176824	97.1314459594691
